"","ERR.90","ERR.92","ERR.93","ERR.94","ERR.95","ERR.91","ERR.60","ERR.62","ERR.63","ERR.64","ERR.65","ERR.61","ERR.330","ERR.332","ERR.333","ERR.334","ERR.335","ERR.331","ERR.300","ERR.302","ERR.303","ERR.304","ERR.305","ERR.301","ERR.210","ERR.212","ERR.213","ERR.214","ERR.215","ERR.211","ERR.180","ERR.182","ERR.183","ERR.184","ERR.185","ERR.181","ERR.450","ERR.452","ERR.453","ERR.454","ERR.455","ERR.451","ERR.420","ERR.422","ERR.423","ERR.424","ERR.425","ERR.421"
"model","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"n","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"p","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200"
"delta","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1"
"combine","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"covmatrix","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS"
"method","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2"
"T_PE2","0.056","0.19","0.968","1","1","1","0.046","0.128","0.954","1","1","1","0.048","0.466","1","1","1","1","0.042","0.372","1","1","1","1","0.048","0.564","1","1","1","1","0.028","0.544","1","1","1","1","0.046","0.806","1","1","1","1","0.028","0.73","1","1","1","1"
"T_PE3","0.052","0.218","0.966","1","1","1","0.044","0.144","0.956","1","1","1","0.046","0.464","1","1","1","1","0.04","0.368","1","1","1","1","0.048","0.758","1","1","1","1","0.048","0.724","1","1","1","1","0.046","0.832","1","1","1","1","0.048","0.79","1","1","1","1"
"MCL","0.044","0.29","0.992","1","1","1","0.044","0.282","1","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.034","0.086","0.674","0.992","1","1","0.038","0.07","0.554","0.954","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
